run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range
70,A,15,15,12,2.0,0.0,0.15,8,157.1709,9.9076,0.6646,33.1815,41.24,3.6009,97,0.0,0.2986,257170.93,2014-01-01~2024-01-01
71,B,15,15,12,2.0,0.0,0.15,8,96.4515,6.9866,0.3742,27.7434,28.81,4.8744,59,0.0,0.2518,196451.52,2014-01-01~2024-01-01
72,A,15,15,12,2.0,0.05,0.15,8,155.3374,9.829,0.6571,33.0352,40.21,3.7355,97,0.0,0.2975,255337.42,2014-01-01~2024-01-01
73,B,15,15,12,2.0,0.05,0.15,8,96.1985,6.9729,0.376,27.5964,28.81,4.8709,59,0.0,0.2527,196198.5,2014-01-01~2024-01-01
74,A,15,15,12,2.0,0.1,0.15,8,155.1477,9.8208,0.6549,32.7339,40.21,3.7404,97,0.0,0.3,255147.69,2014-01-01~2024-01-01
75,B,15,15,12,2.0,0.1,0.15,8,114.1439,7.9133,0.4058,26.5933,30.36,4.911,56,0.0,0.2976,214143.86,2014-01-01~2024-01-01
76,A,15,15,12,2.0,0.15,0.15,8,127.6752,8.5767,0.6936,29.3363,41.41,3.2165,99,0.0,0.2924,227675.16,2014-01-01~2024-01-01
77,B,15,15,12,2.0,0.15,0.15,8,108.6356,7.6324,0.394,26.323,30.36,4.666,56,0.0,0.29,208635.63,2014-01-01~2024-01-01
78,A,15,15,12,2.0,0.2,0.15,8,129.2508,8.6516,0.7136,29.0106,42.42,3.1007,99,0.0,0.2982,229250.79,2014-01-01~2024-01-01
79,B,15,15,12,2.0,0.2,0.15,8,112.18,7.8139,0.3992,26.4486,31.58,4.444,57,0.0,0.2954,212179.97,2014-01-01~2024-01-01
80,A,15,15,12,2.5,0.0,0.15,8,157.1709,9.9076,0.6646,33.1815,41.24,3.6009,97,0.0,0.2986,257170.93,2014-01-01~2024-01-01
81,B,15,15,12,2.5,0.0,0.15,8,96.4515,6.9866,0.3742,27.7434,28.81,4.8744,59,0.0,0.2518,196451.52,2014-01-01~2024-01-01
82,A,15,15,12,2.5,0.05,0.15,8,155.3374,9.829,0.6571,33.0352,40.21,3.7355,97,0.0,0.2975,255337.42,2014-01-01~2024-01-01
83,B,15,15,12,2.5,0.05,0.15,8,96.1985,6.9729,0.376,27.5964,28.81,4.8709,59,0.0,0.2527,196198.5,2014-01-01~2024-01-01
84,A,15,15,12,2.5,0.1,0.15,8,155.1477,9.8208,0.6549,32.7339,40.21,3.7404,97,0.0,0.3,255147.69,2014-01-01~2024-01-01
85,B,15,15,12,2.5,0.1,0.15,8,114.1439,7.9133,0.4058,26.5933,30.36,4.911,56,0.0,0.2976,214143.86,2014-01-01~2024-01-01
86,A,15,15,12,2.5,0.15,0.15,8,127.6752,8.5767,0.6936,29.3363,41.41,3.2165,99,0.0,0.2924,227675.16,2014-01-01~2024-01-01
87,B,15,15,12,2.5,0.15,0.15,8,108.6356,7.6324,0.394,26.323,30.36,4.666,56,0.0,0.29,208635.63,2014-01-01~2024-01-01
88,A,15,15,12,2.5,0.2,0.15,8,129.2508,8.6516,0.7136,29.0106,42.42,3.1007,99,0.0,0.2982,229250.79,2014-01-01~2024-01-01
89,B,15,15,12,2.5,0.2,0.15,8,112.18,7.8139,0.3992,26.4486,31.58,4.444,57,0.0,0.2954,212179.97,2014-01-01~2024-01-01
90,A,15,20,8,1.5,0.0,0.15,8,169.5714,10.4265,0.5503,15.3564,39.82,3.2845,113,0.0,0.679,269571.43,2014-01-01~2024-01-01
91,B,15,20,8,1.5,0.0,0.15,8,31.1,2.7453,0.2041,27.3455,28.95,3.4336,76,0.0,0.1004,131100.01,2014-01-01~2024-01-01
92,A,15,20,8,1.5,0.05,0.15,8,155.4462,9.8337,0.5224,15.4505,39.82,3.1901,113,0.0,0.6365,255446.19,2014-01-01~2024-01-01
93,B,15,20,8,1.5,0.05,0.15,8,32.6362,2.8651,0.2151,26.6663,28.95,3.4991,76,0.0,0.1074,132636.22,2014-01-01~2024-01-01
94,A,15,20,8,1.5,0.1,0.15,8,168.8287,10.396,0.5603,15.5659,40.18,3.3133,112,0.0,0.6679,268828.67,2014-01-01~2024-01-01
95,B,15,20,8,1.5,0.1,0.15,8,35.7658,3.1053,0.2327,26.5655,29.73,3.4781,74,0.0,0.1169,135765.79,2014-01-01~2024-01-01
96,A,15,20,8,1.5,0.15,0.15,8,177.6006,10.7511,0.5852,15.6784,39.09,3.5466,110,0.0,0.6857,277600.59,2014-01-01~2024-01-01
97,B,15,20,8,1.5,0.15,0.15,8,33.942,2.9659,0.2197,27.7427,29.73,3.3848,74,0.0,0.1069,133941.97,2014-01-01~2024-01-01
98,A,15,20,8,1.5,0.2,0.15,8,183.8014,10.9961,0.6069,15.7847,40.18,3.4395,112,0.0,0.6966,283801.41,2014-01-01~2024-01-01
99,B,15,20,8,1.5,0.2,0.15,8,36.3121,3.1467,0.2308,27.6216,30.67,3.3176,75,0.0,0.1139,136312.11,2014-01-01~2024-01-01
100,A,15,20,8,2.0,0.0,0.15,8,169.5714,10.4265,0.5503,15.3564,39.82,3.2845,113,0.0,0.679,269571.43,2014-01-01~2024-01-01
101,B,15,20,8,2.0,0.0,0.15,8,31.1,2.7453,0.2041,27.3455,28.95,3.4336,76,0.0,0.1004,131100.01,2014-01-01~2024-01-01
102,A,15,20,8,2.0,0.05,0.15,8,155.4462,9.8337,0.5224,15.4505,39.82,3.1901,113,0.0,0.6365,255446.19,2014-01-01~2024-01-01
103,B,15,20,8,2.0,0.05,0.15,8,32.6362,2.8651,0.2151,26.6663,28.95,3.4991,76,0.0,0.1074,132636.22,2014-01-01~2024-01-01
104,A,15,20,8,2.0,0.1,0.15,8,168.8287,10.396,0.5603,15.5659,40.18,3.3133,112,0.0,0.6679,268828.67,2014-01-01~2024-01-01
105,B,15,20,8,2.0,0.1,0.15,8,35.7658,3.1053,0.2327,26.5655,29.73,3.4781,74,0.0,0.1169,135765.79,2014-01-01~2024-01-01
106,A,15,20,8,2.0,0.15,0.15,8,177.6006,10.7511,0.5852,15.6784,39.09,3.5466,110,0.0,0.6857,277600.59,2014-01-01~2024-01-01
107,B,15,20,8,2.0,0.15,0.15,8,33.942,2.9659,0.2197,27.7427,29.73,3.3848,74,0.0,0.1069,133941.97,2014-01-01~2024-01-01
108,A,15,20,8,2.0,0.2,0.15,8,183.8014,10.9961,0.6069,15.7847,40.18,3.4395,112,0.0,0.6966,283801.41,2014-01-01~2024-01-01
109,B,15,20,8,2.0,0.2,0.15,8,36.3121,3.1467,0.2308,27.6216,30.67,3.3176,75,0.0,0.1139,136312.11,2014-01-01~2024-01-01
110,A,15,20,8,2.5,0.0,0.15,8,169.5714,10.4265,0.5503,15.3564,39.82,3.2845,113,0.0,0.679,269571.43,2014-01-01~2024-01-01
111,B,15,20,8,2.5,0.0,0.15,8,31.1,2.7453,0.2041,27.3455,28.95,3.4336,76,0.0,0.1004,131100.01,2014-01-01~2024-01-01
112,A,15,20,8,2.5,0.05,0.15,8,155.4462,9.8337,0.5224,15.4505,39.82,3.1901,113,0.0,0.6365,255446.19,2014-01-01~2024-01-01
113,B,15,20,8,2.5,0.05,0.15,8,32.6362,2.8651,0.2151,26.6663,28.95,3.4991,76,0.0,0.1074,132636.22,2014-01-01~2024-01-01
114,A,15,20,8,2.5,0.1,0.15,8,168.8287,10.396,0.5603,15.5659,40.18,3.3133,112,0.0,0.6679,268828.67,2014-01-01~2024-01-01
115,B,15,20,8,2.5,0.1,0.15,8,35.7658,3.1053,0.2327,26.5655,29.73,3.4781,74,0.0,0.1169,135765.79,2014-01-01~2024-01-01
116,A,15,20,8,2.5,0.15,0.15,8,177.6006,10.7511,0.5852,15.6784,39.09,3.5466,110,0.0,0.6857,277600.59,2014-01-01~2024-01-01
117,B,15,20,8,2.5,0.15,0.15,8,33.942,2.9659,0.2197,27.7427,29.73,3.3848,74,0.0,0.1069,133941.97,2014-01-01~2024-01-01
118,A,15,20,8,2.5,0.2,0.15,8,183.8014,10.9961,0.6069,15.7847,40.18,3.4395,112,0.0,0.6966,283801.41,2014-01-01~2024-01-01
