symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season
159915.SZ,2020-06-19T00:00:00,2020-07-27T00:00:00,24,long,2.238,2.54,29112.8,True,4,0.0423,0.6559,76.16,1.03,0.9456,0.6774,0.7581,0.3264,1.7483,2.0934,2020Q2
518880.SH,2020-07-27T00:00:00,2020-08-12T00:00:00,12,long,4.203,3.989,-23968.0,False,4,0.0397,0.6761,82.35,1.43,2.3174,0.4176,0.4505,0.2861,2.668,3.9617,2020Q3
513100.SH,2020-07-13T00:00:00,2020-10-23T00:00:00,68,long,0.7847,0.9015,41720.96,True,4,0.0109,0.6599,67.49,1.08,1.0642,0.3548,0.5968,0.2526,6.5826,0.7604,2020Q3
159915.SZ,2020-10-12T00:00:00,2020-10-26T00:00:00,10,long,2.683,2.533,-2565.0,False,1,0.0666,0.6725,64.11,1.34,0.4955,0.939,1.0,0.653,2.0936,2.4938,2020Q4
510500.SH,2020-11-23T00:00:00,2020-12-11T00:00:00,14,long,5.9877,5.7654,-2600.91,False,1,0.0951,0.6861,59.96,1.29,0.2029,0.3594,0.5701,0.3897,-1.4888,5.832,2020Q4
518880.SH,2021-01-06T00:00:00,2021-01-11T00:00:00,3,long,3.931,3.777,-5082.0,False,1,0.0351,0.6983,65.4,1.29,0.0285,0.0,0.5294,0.2203,-1.6297,3.8273,2021Q1
159915.SZ,2020-12-21T00:00:00,2021-02-24T00:00:00,40,long,2.778,2.904,10382.4,True,4,0.0533,0.6813,69.05,1.66,1.3508,0.9579,0.9684,0.4431,0.8148,2.6196,2020Q4
513100.SH,2021-01-21T00:00:00,2021-02-26T00:00:00,20,long,0.8867,0.8489,-18340.56,False,4,0.01,0.6935,63.0,1.9,1.0,0.625,0.875,0.0674,-1.8569,0.8627,2021Q1
510500.SH,2021-02-19T00:00:00,2021-03-05T00:00:00,10,long,6.2369,5.9642,-5781.24,False,2,0.1112,0.6696,63.63,1.02,0.045,0.6161,0.9523,0.4806,1.2241,6.0262,2021Q1
513100.SH,2021-04-08T00:00:00,2021-05-06T00:00:00,17,long,0.9181,0.9021,-5958.4,False,4,0.0122,0.6744,67.11,0.95,0.541,0.8636,0.8636,0.0976,0.6301,0.8754,2021Q2
518880.SH,2021-05-10T00:00:00,2021-06-03T00:00:00,18,long,3.73,3.774,5684.8,True,4,0.0346,0.7043,64.07,1.16,0.1734,0.3,0.5,0.1905,-1.4468,3.6474,2021Q2
510500.SH,2021-05-25T00:00:00,2021-06-16T00:00:00,15,long,6.1731,6.148,-1455.8,False,4,0.079,0.6794,65.32,1.12,0.0949,0.6574,0.7994,0.1355,0.128,6.064,2021Q2
